 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 KeyboardKeypad::KeyboardDeleteForward                     ,   0x7004C , Vk::Delete              , VK_DELETE                              ,  0x2E  ,     0x53 , Enigo::Delete                           ,                    , Keysym::Delete                    ,       0xFFFF , KeyCode::FORWARD_DELETE                 ,  0x75  ,
 KeyboardKeypad::KeyboardDownArrow                         ,   0x70051 , Vk::DownArrow           , VK_DOWN                                ,  0x28  ,     0x50 , Enigo::DownArrow                        ,                    , Keysym::Down                      ,       0xFF54 , KeyCode::DOWN_ARROW                     ,  0x7D  ,
 KeyboardKeypad::KeyboardE                                 ,   0x70008 , Vk::E                   , VK_E                                   ,  0x45  ,     0x12 , Enigo::E                                , #[windows]         , Keysym::E                         ,       0x0045 , KeyCodeExt::kVK_ANSI_E                  ,  0x0E  ,
 KeyboardKeypad::KeyboardEnd                               ,   0x7004D , Vk::End                 , VK_END                                 ,  0x23  ,     0x4F , Enigo::End                              ,                    , Keysym::End                       ,       0xFF57 , KeyCode::END                            ,  0x77  ,
 KeyboardKeypad::KeyboardEqualsandPlus                     ,   0x7002E , Vk::Plus                , VK_OEM_PLUS                            ,  0xBB  ,     0x0D , Enigo::OEMPlus                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardEscape                            ,   0x70029 , Vk::Escape              , VK_ESCAPE                              ,  0x1B  ,     0x01 , Enigo::Escape                           ,                    , Keysym::Escape                    ,       0xFF1B , KeyCode::ESCAPE                         ,  0x35  ,
 KeyboardKeypad::KeyboardExecute                           ,   0x70074 , Vk::Execute             , VK_EXECUTE                             ,  0x2B  ,          , Enigo::Execute                          , #[windows|linux]   , Keysym::Execute                   ,       0xFF62 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardF                                 ,   0x70009 , Vk::F                   , VK_F                                   ,  0x46  ,     0x21 , Enigo::F                                , #[windows]         , Keysym::F                         ,       0x0046 , KeyCodeExt::kVK_ANSI_F                  ,  0x03  ,
 KeyboardKeypad::KeyboardF1                                ,   0x7003A , Vk::F1                  , VK_F1                                  ,  0x70  ,     0x3B , Enigo::F1                               ,                    , Keysym::F1                        ,       0xFFBE , KeyCode::F1                             ,  0x7A  ,
 KeyboardKeypad::KeyboardF10                               ,   0x70043 , Vk::F10                 , VK_F10                                 ,  0x79  ,     0x44 , Enigo::F10                              ,                    , Keysym::F10                       ,       0xFFC7 , KeyCode::F10                            ,  0x6D  ,
 KeyboardKeypad::KeyboardF11                               ,   0x70044 , Vk::F11                 , VK_F11                                 ,  0x7A  ,     0x57 , Enigo::F11                              ,                    , Keysym::F11                       ,       0xFFC8 , KeyCode::F11                            ,  0x67  ,
