 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_THUMBSTICK_DOWN        ,  0xD4  ,          , Enigo::GamepadLeftThumbstickDown        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_THUMBSTICK_LEFT        ,  0xD6  ,          , Enigo::GamepadLeftThumbstickLeft        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_THUMBSTICK_RIGHT       ,  0xD5  ,          , Enigo::GamepadLeftThumbstickRight       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_THUMBSTICK_UP          ,  0xD3  ,          , Enigo::GamepadLeftThumbstickUp          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_LEFT_TRIGGER                ,  0xC9  ,          , Enigo::GamepadLeftTrigger               , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_MENU                        ,  0xCF  ,          , Enigo::GamepadMenu                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_SHOULDER              ,  0xC7  ,          , Enigo::GamepadRightShoulder             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_THUMBSTICK_BUTTON     ,  0xD2  ,          , Enigo::GamepadRightThumbstickButton     , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_THUMBSTICK_DOWN       ,  0xD8  ,          , Enigo::GamepadRightThumbstickDown       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_THUMBSTICK_LEFT       ,  0xDA  ,          , Enigo::GamepadRightThumbstickLeft       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_THUMBSTICK_RIGHT      ,  0xD9  ,          , Enigo::GamepadRightThumbstickRight      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_THUMBSTICK_UP         ,  0xD7  ,          , Enigo::GamepadRightThumbstickUp         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_RIGHT_TRIGGER               ,  0xCA  ,          , Enigo::GamepadRightTrigger              , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_VIEW                        ,  0xD0  ,          , Enigo::GamepadView                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_X                           ,  0xC5  ,          , Enigo::GamepadX                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_GAMEPAD_Y                           ,  0xC6  ,          , Enigo::GamepadY                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ICO_00                              ,  0xE4  ,          , Enigo::Ico00                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ICO_CLEAR                           ,  0xE6  ,          , Enigo::IcoClear                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ICO_HELP                            ,  0xE3  ,          , Enigo::IcoHelp                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_ACCEPT                   ,  0x8E  ,          , Enigo::NavigationAccept                 , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_CANCEL                   ,  0x8F  ,          , Enigo::NavigationCancel                 , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_DOWN                     ,  0x8B  ,          , Enigo::NavigationDown                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_LEFT                     ,  0x8C  ,          , Enigo::NavigationLeft                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_MENU                     ,  0x89  ,          , Enigo::NavigationMenu                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_RIGHT                    ,  0x8D  ,          , Enigo::NavigationRight                  , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_UP                       ,  0x8A  ,          , Enigo::NavigationUp                     , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NAVIGATION_VIEW                     ,  0x88  ,          , Enigo::NavigationView                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_NONAME                              ,  0xFC  ,          , Enigo::NoName                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_8                               ,  0xDF  ,          , Enigo::OEM8                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_ATTN                            ,  0xF0  ,          , Enigo::OEMAttn                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_AUTO                            ,  0xF3  ,     0x5F , Enigo::OEMAuto                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_AX                              ,  0xE1  ,          , Enigo::OEMAx                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_BACKTAB                         ,  0xF5  ,     0x5E , Enigo::OEMBacktab                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_CLEAR                           ,  0xFE  ,          , Enigo::OEMClear                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_COPY                            ,  0xF2  ,          , Enigo::OEMCopy                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_CUSEL                           ,  0xEF  ,          , Enigo::OEMCusel                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_ENLW                            ,  0xF4  ,          , Enigo::OEMEnlw                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FINISH                          ,  0xF1  ,     0x5B , Enigo::OEMFinish                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FJ_JISHO                        ,  0x92  ,          , Enigo::OEMFJJisho                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FJ_LOYA                         ,  0x95  ,          , Enigo::OEMFJLoya                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FJ_MASSHOU                      ,  0x93  ,          , Enigo::OEMFJMasshou                     , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FJ_ROYA                         ,  0x96  ,          , Enigo::OEMFJRoya                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_FJ_TOUROKU                      ,  0x94  ,          , Enigo::OEMFJTouroku                     , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_JUMP                            ,  0xEA  ,     0x5C , Enigo::OEMJump                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_NEC_EQUAL                       ,  0x92  ,          , Enigo::OEMNECEqual                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_PA1                             ,  0xEB  ,     0x7B , Enigo::OEMPA1                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_PA2                             ,  0xEC  ,          , Enigo::OEMPA2                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_PA3                             ,  0xED  ,     0x6F , Enigo::OEMPA3                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_RESET                           ,  0xE9  ,     0x71 , Enigo::OEMReset                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_OEM_WSCTRL                          ,  0xEE  ,     0x5A , Enigo::OEMWsctrl                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_PA1                                 ,  0xFD  ,          , Enigo::PA1                              , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_PACKET                              ,  0xE7  ,          , Enigo::Packet                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_PLAY                                ,  0xFA  ,          , Enigo::Play                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_PROCESSKEY                          ,  0xE5  ,          , Enigo::Processkey                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , na!(Vk)                 , VK_ZOOM                                ,  0xFB  ,     0x62 , Enigo::Zoom                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Accept              , VK_ACCEPT                              ,  0x1E  ,          , Enigo::Accept                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Convert             , VK_CONVERT                             ,  0x1C  ,          , Enigo::Convert                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Final               , VK_FINAL                               ,  0x18  ,          , Enigo::Final                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::ImeOff              , VK_IME_OFF                             ,  0x1A  ,          , Enigo::IMEOff                           , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::ImeOn               , VK_IME_ON                              ,  0x16  ,          , Enigo::IMEOn                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Junja               , VK_JUNJA                               ,  0x17  ,          , Enigo::Junja                            , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Kana                , VK_KANA                                ,  0x15  ,          , Enigo::Kana                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Kana*               , VK_HANGEUL                             ,  0x15  ,          , Enigo::Hangeul                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Kana*               , VK_HANGUL                              ,  0x15  ,          , Enigo::Hangul                           , #[windows|linux]   , Keysym::Hangul                    ,       0xFF31 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Kanji               , VK_KANJI                               ,  0x19  ,          , Enigo::Kanji                            , #[windows|linux]   , Keysym::Kanji                     ,       0xFF21 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Kanji*              , VK_HANJA                               ,  0x19  ,          , Enigo::Hanja                            , #[windows|linux]   , Keysym::Hangul_Hanja              ,       0xFF34 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::ModeChange          , VK_MODECHANGE                          ,  0x1F  ,          , Enigo::ModeChange                       , #[windows|linux]   , Keysym::Mode_switch               ,       0xFF7E , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::NonConvert          , VK_NONCONVERT                          ,  0x1D  ,          , Enigo::NonConvert                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Print               , VK_PRINT                               ,  0x2A  ,          , Enigo::Print                            , #[windows|linux]   , Keysym::Print                     ,       0xFF61 , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::Separator           , VK_SEPARATOR                           ,  0x6C  ,          , Enigo::Separator                        , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::StartApp1           , VK_LAUNCH_APP1                         ,  0xB6  ,   0xE06B , Enigo::LaunchApp1                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 todo!(HUT)                                                ,           , Vk::StartApp2           , VK_LAUNCH_APP2                         ,  0xB7  ,   0xE021 , Enigo::LaunchApp2                       , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
